rewardsSnapshot0,rewardsSnapshot1,rewardsSnapshot2
"[-119.34045161  670.09405274  226.09542246  662.38509042  -78.39182535
  226.09542246  154.58020808  670.09405274  374.20949709  226.09542246
  154.58020808 -414.31506299   32.07873204  249.75582085  487.75060219
  450.30779085    6.4882142   154.58020808  520.49586802]","[  403.74679995   896.95923922   689.70673684   739.83333198    56.47468895
   735.44144631  1026.18638313   763.40172996   442.47816493   750.93722862
   827.98471414  1049.71795477   863.37489575   633.27904827   637.89786022
   561.87697614   655.91707379   410.40050604   -27.88980899]","[ 112.64715573  235.22329578 -150.37584765  297.40314426  278.23321917
    4.71054429 -199.86596993  343.29650253  770.01857472  105.25876856
  146.25061912  650.76892342    4.71054429   82.52490777  701.02261495
  255.6015047   539.11008629  982.90181659   48.45967573]"
"[ 879.61329426  323.91408556  793.10686757  879.61329426  -59.21035939
  521.26729259  -29.06173462  879.61329426  323.91408556  380.75731273
  513.15759603  543.57832505  396.50718987  329.82444368  249.56042571
  669.271196    443.38709325  323.91408556  426.80731442]","[ 1016.89585415   922.74637405   489.2026912    467.58553      870.84150729
   871.55327615   769.3635702    671.17840672   975.9794027    473.34395043
   451.43697432   735.67456502   731.87857817   494.08692552   922.74637405
   963.98038783   633.90805276   214.43420547   676.01593625]","[  16.32042616 -227.75785364  870.1575877   197.05694206  104.35048539
 -227.74041985  513.83011262  162.18531071  -93.75577742  556.3831575
  551.28534286  177.58041644  800.87757038  -27.49913342  104.40837491
  746.99598425  413.07797709  412.67237178  104.40837491]"
"[ 506.5808204   560.69129231  659.81311354  572.63999217  -14.87996774
  826.67078519  -14.87996774  826.67078519  662.19328858  192.2240441
  826.67078519  506.92633063  218.02432029  238.70014557  679.15836421
  418.25724582   30.05652664  636.68358953  213.6000763 ]","[ 757.1162907   495.02916412  774.03076644  518.94475273  976.94445121
  862.52096092  660.22524847  827.3617793   840.4904516   603.39753521
  926.23829941  807.70931044  772.18948858  501.28082002  633.08924085
  495.02916412  697.38792243  354.51812081  768.80456617]","[ 345.58602078  439.67577414  491.52938905  151.21939789  126.31884481
  816.38391449 -241.78960172  315.89749682  677.53863772 -190.16512852
  250.99249578  383.23088208  616.23254106   47.34425329  548.41100692
  151.21939789   89.50996888  782.16434644  829.63706557]"
"[ 642.72585833  390.20629698  339.8155715   496.61573815  508.22579263
  214.41022727  473.6138111   429.77962829   95.10125935  768.29920591
 -168.22550821   95.10125935  586.84858377  184.85861038  666.34581612
  429.77962829   95.10125935  762.46240327 -166.79463234]","[ 452.39585181  854.9116937   984.66470484  513.35239981  862.66072436
  715.74544156  779.64025622  808.32196161  922.99655755  426.070163
  338.25941756  683.3422114   800.75302806  881.40071584  784.20175684
  795.24423605  514.77362173  830.29478764  881.40071584]","[ 541.6485332   239.527925    212.72013328  417.71571123  205.13538111
  502.84874836  266.73732967  155.35707548  404.20304447  535.8959283
  194.44013355  484.10888666  676.0500776   440.02114523  848.93941103
  372.56748644  312.3567797   194.44013355  442.45140115]"
"[ 927.55927539  102.35294251  -45.65034706  375.42702469  619.06877329
  231.8999826   617.29332008  206.80809404  306.42160854  935.14461494
  498.50701524  824.07902061   99.17650566    1.55085268  535.13894783
  617.29332008  329.04987668  231.8999826   617.29332008]","[  618.08624726   902.20275789   840.66110421   941.97627214   768.84206598
   837.29622855   892.20580603  1142.36119049    41.38773059   801.73085063
   559.80111089  1038.36718139   765.63102628   798.99685446   468.32062838
    41.38773059   792.33787744  1007.68825529   720.68426053]","[  193.19558601   582.47734305   608.31845058   548.75477902   168.83728637
   737.24709788   776.53573942   387.6499424    490.46449246   847.37160619
   140.81354551   173.58875752  1044.65245572   776.53573942   377.86317897
   810.46494043   381.14413249   134.89216964   514.51823933]"
"[ 758.64316009  361.75762521  828.13713192  220.37112017  -17.70215526
  746.14035246  407.72236868  674.60296504  -41.6518964   343.64867243
   60.2043895   758.64316009   68.43071493  402.04501974  445.45998118
  592.83562321   68.43071493  402.04501974   24.18622872]","[  514.5188025    527.58621881   626.9180852    878.2210758    848.1765454
   986.06103605  1034.26869486  1006.55264272   884.827137      57.12350435
   733.11833278   782.919552    1051.88583022   828.91310613   946.98335226
  1043.31912331    57.12350435   315.25285993   997.1025984 ]","[  452.34310061    15.64477921   618.17177392   592.04211686   903.53705672
   399.32407137   318.35678441   566.68399176   592.04211686   582.31793526
   268.33833212   184.95404369   689.18623033    11.803198     313.8565019
  1040.8680533   -417.281527     260.3061001    466.58827538]"
"[ 603.62977551  146.71072318  382.27557223  441.21276166  561.66726989
  321.95886986    8.94358146  515.76000923  162.256124    561.66726989
  -39.67845695  603.62977551  480.42726665   83.59748686   95.22327162
  143.94176656  146.71072318  322.57460202  614.47011144]","[  -2.44533848  656.28692821  843.29226614  925.78067907  816.41396561
  977.41444366  878.91768667  588.404407    872.41495351  745.5448415
  995.36335609  866.78971413  889.65033618  266.7692301   972.54417758
  594.63804357  650.37087185  872.41495351  745.5448415 ]","[ 383.49869374  611.45684523  290.14670507   96.71437293  430.63569613
  371.58877313  786.24579247  923.68500306  159.76653138  193.09487863
  371.58877313   49.67279943 -241.3204685   511.63805489  388.50364
 -281.61882715  602.1001947   791.35926792  351.26612329]"
"[ 576.82554683   17.08654345  576.82554683   17.08654345  628.59507025
  526.94043479  384.08405884  576.82554683  -53.78149056   62.01537714
  629.59587044  -22.32886736  659.45127655  633.94048388  701.18601065
   91.91019028  888.05025426  701.18601065  560.27181583]","[  955.27221143   853.90446566   636.70977615   754.57397287   775.21930212
  1018.07967271   509.39550467   726.45129388   810.24972201   982.32460367
   261.05362679   754.87728954   918.63531863   872.4970196    986.30125025
   625.90234646   955.27221143   986.30125025  -393.73935466]","[ 540.52470662  488.96510373  337.13706213  315.40143094  315.40143094
  184.01741836  854.48418732  115.52712855  522.38115107  399.75685699
  189.43689265  382.26017709  818.66476109  522.8288515   681.46874809
  572.29847372  268.89009975  405.38140968  517.34586031]"
"[  -5.94490988  599.852722     13.86169584  441.76923149  663.48655506
  271.98744761   35.08720066  663.48655506  504.01103551  313.34156584
  231.67065285  -60.03065503  654.47488336  -18.5514132    -5.94490988
  571.88110547  -18.5514132   -18.5514132    -5.94490988]","[  870.15771026   206.96495723   434.14335679   863.30200539   749.16033194
   977.01728757  1028.63694577   922.08091045   946.67244214   870.15771026
   302.16357157   701.51272935   701.51272935   624.60737776   631.95273819
   277.63346712   202.28214877   206.46779223  1118.31149436]","[ 686.34239606  521.35514339  686.34239606  521.35514339  358.16369922
  252.47293267  527.45286615 -283.50674735  202.3285945   276.6558492
  809.74519903  186.35194448  579.00535384  414.21764254  463.8781432
 -262.27128938  990.12096937   16.2859652  -116.00101935]"
"[ 168.57494666   -6.12076398  225.32271602  -19.58057073  519.01131873
  201.52324058  197.59242991  284.02487066  -19.58057073  792.6028637
  -19.58057073  227.57439921  793.93127596  557.06421117  367.77700829
  793.93127596  779.22602064  792.6028637   661.18108663]","[  877.7661905    778.4513647    876.89531878   705.24312836   721.0300451
  1097.37345262  1149.94480202   786.1264309   1097.37345262   622.51635847
   519.62288734   889.42134024   987.96224959   905.10264364   882.0574796
   961.68446444   983.15151665   856.73157223   987.96224959]","[ -64.72197014  122.96909089  459.98239642  424.7729098   459.98239642
  424.7729098   -60.31066554  412.5118083   371.94447572  837.23182613
  519.66494375  675.86173981  757.51397827  -18.37523834  461.42586415
  410.85144546  127.43827518  318.98704401  633.84003048]"
"[ 155.9394875   947.03171139  824.20652418  873.45521272  947.03171139
  -94.2945159   528.93085694  283.5589673    34.16750093  661.04619495
  -94.2945159   155.9394875   947.03171139  359.08147309  837.19252895
  873.45521272 -140.74503976   72.65578804  389.51253577]","[  918.81634788   767.40147104   182.77858162   860.15058093   736.47341291
   595.02691366   713.80943441   604.66032528   837.51642678   666.90414013
   730.03259848   918.81634788   691.81753847   956.05902897   617.25996463
  1105.38144765  1034.5901045   1047.43603005   837.51642678]","[ 348.63524998  521.26644407  451.33265445  643.69244303  451.33265445
  322.72255629  285.50359403  164.49832371 -170.98678963   49.02726557
  193.52263999  345.7863774   683.07289051  195.34030709  337.44433108
  460.14754478  510.00536184  489.56435825  422.61598811]"
"[ 554.96673489  862.7455255    36.47285878  554.96673489  672.18363233
 -229.97622896  155.77742004 -137.91979143  554.96673489  862.7455255
   36.47285878  554.96673489  324.40420268  954.09702655  272.20146147
  918.14936933  603.66624321  832.67183422  140.62702831]","[  836.04197804   883.32449894   728.78435295   945.61328038   728.29940679
    36.41400035  1229.53149611   681.32141835   481.5610863    788.09279741
   606.192529     870.17181063   928.97577504    26.48291518   790.39021782
   -32.56550227   707.04842561   610.13399671    26.48291518]","[ 393.93600526  576.52484057  450.68875941 -189.37665135  333.43418859
  451.7701989   816.12774848  160.39476093   51.05000952  481.78397375
  576.52484057  366.93292544  358.00864237 -337.50341208  669.18533015
  480.00094974  365.8166666   306.61033642  466.77334338]"
"[ 444.81727795  292.86070271  580.53695095  186.74895201   37.07281207
  128.43354592  717.2722419   743.21274269  128.43354592   38.75675345
  521.37322914  596.19208827  593.49130306  651.01080024  721.00048177
  128.43354592   38.75675345   37.07281207  128.43354592]","[  990.8815838    905.53409485   672.73415247   981.56549636   702.70436144
   930.29993394   761.07000961   584.64368825  1004.44979359  -153.77546196
   533.82455989   728.14824152   595.51560028   759.62279184   776.11309028
   947.44658365   628.14568896   702.79404505   822.73831039]","[ 680.40126764   84.81763543  381.12179429  342.00357778  209.40300844
  -10.42075669   61.67921956  322.17965387  148.82988074  125.96395869
  848.74555654  109.80878111  322.17965387  521.94391696 -150.89601636
   77.31971454 -102.88044885  493.41475918 -146.42523869]"
"[ 717.9615304   623.26325653  432.12532093  635.46254891  329.18468133
  670.85475096  578.0903828   -14.5122158   664.49556872   95.70529188
  314.15839443  156.61094369   95.70529188  159.08190126  674.71662433
   95.70529188  314.15839443  156.61094369   95.70529188]","[  808.083559     751.89792199  1025.29943703   832.07306686   850.46669233
   473.04960095   447.33755777   820.47660344   780.21952157   757.15099834
   887.33633529  1145.23890546   721.81570124   725.83072154   767.78199753
   393.48068361   718.34125247   916.86747659   890.89706573]","[ 428.3486635   742.85992667  379.62307544  691.12597363  293.61690222
  653.62872157  484.54252887  379.04393539  176.69142912  427.40718248
   53.06749668 -280.52224506  -49.05325297  186.60041918   42.36715621
  145.27066547  522.76018102  289.93665192   53.06749668]"
"[-222.5206325   722.88463029 -167.32401995   13.51201012  541.22451199
   21.21895499  722.88463029  132.99608544 -222.5206325   722.88463029
  598.47229963  759.78281268  722.88463029  132.99608544   77.54615962
 -195.90713852  630.63612779 -152.74784263  491.69693856]","[ 451.12148455  686.74295898  770.71339862  740.12993815  746.39303658
  759.36997136  646.38707139   20.42628258  902.56936788  664.37497985
  617.06920388  774.07363913  792.79569838  938.08853786  789.61486135
  895.29206834  709.19441484  628.17265392  881.42834381]","[  328.54762264   112.32008693   449.91981742   353.25180787   193.76399654
   502.89812353   149.25829634   186.34599584   240.71842282   191.63245389
  1093.28305996   292.02161893   471.31491736   449.91981742   353.25180787
   148.39597798   410.60647444   -29.18172999   328.54762264]"
"[ -82.88705117  321.51565633  176.92265154  775.97631915  343.86971206
   -1.61599352  -13.99124328  773.87787363  770.26703606  166.85616744
  -13.99124328  773.87787363  773.87787363  266.83706405  773.87787363
  266.83706405  551.3295924   394.42156013  783.89629538]","[ 868.22547445  761.8203933   756.09156793  683.56213503  841.23981065
  724.80627532  671.63427269  557.55967164  693.28394268  966.21649597
   61.08948571  662.10665274  205.58407646  763.35916139  638.09606282
  713.91708017  517.7855092   868.22547445  885.50412752]","[-409.40228531  327.91065016  103.43289512  706.15781183  103.43289512
  706.15781183  177.80680682  440.96939334  303.86230749   99.68466948
  200.37184581  747.07421422  400.14147659  200.37184581  306.28987837
  386.38575002  391.67624943 -167.24421118  206.11932644]"
"[ 380.02530916  510.24110736  402.99608269  651.38080189  208.62709879
  133.23251119  394.98210417  677.94876387  486.17214154  455.73360444
  208.62709879  455.73360444  208.62709879  461.50452179  450.1331356
  -29.77222179 -127.44351023  208.62709879  133.23251119]","[  8.51802828e+02   8.21111868e+02   6.85921830e+02  -5.72158731e-01
   8.33197350e+02   7.50603105e+02   7.38098731e+02   6.98932909e+02
   7.44905836e+02   1.11764372e+03   7.12712834e+02   7.50603105e+02
   8.12849522e+02   6.99435802e+02   8.03126284e+02   3.21319172e+02
   1.02107957e+03   2.25438682e+02   6.53022878e+02]","[ 318.14553826  -85.47693474   85.20534688  720.71491111  263.10536781
  682.53808968  553.93157032  346.06673599  378.6069459   203.46152486
  341.20722616 -206.42522837  337.34156561  605.80364832  337.34156561
  605.80364832  161.77697849  419.70238161   85.20534688]"
"[  97.21213802  298.39355541  720.68682137  -72.32134542  605.43155617
  307.31949922  714.91893576  605.43155617  250.85738606  421.87160822
  576.28463829   70.8550387   525.12614255  932.22038615  605.43155617
  307.31949922  714.91893576   21.58018264  -86.40382111]","[  885.18788527   872.24194361   690.80008271   804.37255929   775.45626892
   856.98623782   739.48657457   711.65918735   841.77062471  -116.86798321
   529.87813541   660.84119322   949.14871355  1082.24502338   611.01161382
   558.77927058   856.98623782   664.52521059   730.6738459 ]","[ 496.05095604  192.4607916   520.42363678  313.00899981  160.96913747
  366.12257837  712.98974479  219.83035293 -113.41548058  299.46854556
  503.32673698   96.71268897  388.34234178   61.82336397  662.98541712
  388.78964122  683.81173593 -113.41548058  299.46854556]"
"[ 521.67913681   17.23013031  919.48407061  425.72828783  892.676554
  446.69444875  244.54540066  832.46160004  587.87542847  690.97401074
  625.89417043  548.42511579  228.07799579   17.23013031  548.42511579
  548.42511579  228.07799579  366.5401625   412.99919084]","[ 674.42251086  801.71889288  493.98425489  627.89439447  674.34714437
  707.56625776  707.84071335  905.96961386  723.4856667   732.8305509
  699.32776678  573.69669035  364.79031249  642.45557443  100.47554483
  766.25795164  732.8305509   493.98425489  643.46131689]","[ 235.92762881  123.10387711  144.21626057 -231.81899549  214.86882026
  129.17284729  427.18072229  296.88806445  171.20201578  423.68945401
  200.14058078  214.86882026  129.17284729  369.55757048  373.86263512
  394.77080319  627.07794559  593.26572998  381.06247737]"
"[ 594.42270942  590.09828114  637.21130409  674.70601531  772.76778673
  444.60645753  849.11661471  -23.25377223  444.60645753   18.84406078
  232.24819282  703.89495771  506.01236516  460.89789213  789.01847797
  146.1583528   348.37652313  444.60645753  849.11661471]","[  731.00833412  1159.06692479   805.93396923   653.95268841   470.07941735
   688.29331281  1072.38358324   702.22901646   786.41533637   679.80867823
   -76.17085675   571.19302388   451.40496672   816.02939287   641.56222849
   573.07910105   733.22371037   573.07910105  1072.38358324]","[ 441.13483604  479.21078895  379.77878335   -3.81818964  135.23652818
  320.67060898  855.5081812   496.78311289  223.91500446  232.4837687
  664.02995629  401.88380218  154.98016418  664.02995629  689.58710231
  208.59256211  483.29634347  338.84592897  193.72993755]"
"[ 831.8162837   251.88734363  -41.05585209  251.23289786  243.17065651
   24.80442238  523.69057913  -71.37414851  802.56319947  -34.96939306
   24.80442238  -85.90779614  448.97461169   24.80442238  -85.90779614
  -35.32103015  710.21596635  415.81495442  739.89521736]","[  814.61522576   590.99714745   952.89109127   350.67919565   773.03288642
   712.76942316  1172.82663414   713.91720902   825.39162815   814.61522576
   676.73527406   881.96494603   782.55129312   812.53468884   691.10859052
   901.11535462  1141.23355135   629.05806669   590.99714745]","[ 568.89821319  361.95280764  413.25117252  625.30156017    8.65084947
  524.3847225   293.43613901  880.70329778  361.95280764  486.43293424
 -163.07263336  956.53499975  602.19779336 -115.73726009  368.83077557
  417.62345153   75.10834496  700.80648484   85.64151561]"
"[  -33.73766691   604.36480827  1106.37341966   643.56069531   521.8998359
  1167.00299366   756.03320941   574.77364917   358.7247777    -33.73766691
   728.03839274   587.71610887   -27.96633465   745.31266098   573.0742088
  1106.37341966   643.56069531   661.24768781   400.62294489]","[ 810.74077175  898.12340024  834.68273361  876.37402046  614.32339383
  697.1528494   612.75921177  815.72750472  669.87329327  725.50553431
  613.82352823  669.87329327  338.53872528  759.65088704  669.87329327
  642.02050233  752.40605147  630.53525781  780.70093576]","[ 548.06083648  492.19197353  236.29456535  561.10251653   47.52345635
  658.32860242 -184.58207036  611.3531007   659.22740863  280.62946296
  355.74570093  420.33311225  537.68580922  131.89825195  200.82081976
   94.78258968  355.74570093 -113.87238876  174.98918154]"
"[ -98.96419548  506.47844105  141.47437129  329.94401539  -22.89123006
   57.18917876  806.17666979  -98.96419548  691.4268113   439.45920153
  739.67909185  -22.92774172  790.749678    439.45920153  745.19720356
  272.21473165  271.25286272  272.21473165  271.25286272]","[  537.84043336   844.85014394   670.41136746   894.64087531   553.33170375
  1002.47291615   834.22947619   834.22947619   537.84043336   864.26533178
   620.83634349   845.635758     650.74305892   865.4220906   1074.7108747
   733.97922895   647.14551101   943.05369552   811.26318356]","[ 374.5965471   247.709778    -25.84010343    3.01516078  247.709778
  425.71589751 -148.8467284   714.96068316  476.6532928   519.31553448
  109.6301011   462.93586869  -38.04083001  276.19735802  243.15349343
  625.42265885  163.53833443  297.4381552    14.09406207]"
"[ 747.65961105  322.8003004   835.70874167 -214.31028313  564.72382853
  561.71713185  561.71713185  900.48261162  835.70874167  228.07210755
  646.94595541   95.85674694  709.87545871 -224.15672651  480.00478974
  -37.38328354  740.41823197  407.24603843  -37.38328354]","[  671.28816101   844.25547482   685.54375765   283.45366368   695.00964417
   608.29104781   764.40730036   629.24375749  1098.11090847   723.54197397
   675.28438397   608.29104781   671.28816101   805.64474432   616.38911738
   836.24888267   505.67129236   732.85165027   633.69236552]","[  54.89406878  409.02027723  492.44457123  233.06922342  330.22956563
  520.69561083  471.85485218  476.34248013  473.85722642  500.43555796
  338.87912438  450.83672225  537.23905294  338.87912438  224.78310239
  252.46871556  475.49267507  141.87490562 -188.40852644]"
"[ 324.98521283  683.54103088  341.01863877  239.12767215  239.12767215
  324.98521283  891.68877216  753.12348079  430.24018196  117.75728355
  453.31634634 -268.11651848  269.43196751  694.78599759  785.45213459
  693.29079426  694.78599759   88.74263122  683.54103088]","[  508.20262454   480.95223948   815.13590236   739.96250363   635.3732588
   773.67864511  1006.37418368   674.16235846   739.96250363   708.26990962
   591.64648235   787.43328738   907.21322566   575.33391264   758.50420166
   692.14694586   524.08603409   537.05774663   815.13590236]","[  92.38834971  623.22476965  -24.94482209  375.55516      96.05934522
   -6.90210168  264.09934905   96.05934522  170.91853731  462.73906202
  854.46744131  583.79266323 -208.51712081  699.48797019  -48.59224972
 -138.44026305  368.38313815  442.00448257  346.44610957]"
"[ 171.16590686  394.19577912  664.35011343  171.16590686  581.31544588
  213.60300314  374.1771169   161.59347464  391.81352986  664.35011343
  171.16590686  394.19577912  161.59347464   -8.85229889  198.75029504
  734.32372841 -129.72050443  761.39286606  840.82867278]","[ 431.60454838  690.92418772  504.79846292  797.0994314   699.99383917
  746.64686783  771.73299124  857.21125072  857.21125072  796.11894167
  742.3664415   766.62223296  797.76808313  816.91611844  782.02203741
  501.8654288   581.05719442  683.21160434  869.86180423]","[  -9.71241909  457.12589972  667.63881217  291.14513974  804.40781023
  -45.36730222  713.54878221 -221.16854576 -182.81697101  360.15862741
  -45.36730222   85.83646918  -78.31592965  430.34982331  621.17488651
  588.17310166  -46.91529941  370.1906033   212.03839538]"
"[ 834.32889572  428.67761008  713.2197448   565.304457    567.01733451
  185.37512706 -125.89213954  567.01733451   25.32370167  559.26844975
  428.67761008  513.49170318  261.01401563  -36.36833815  400.45249459
  513.49170318  657.9052796   513.49170318  657.9052796 ]","[ 645.47012085  544.07706852  726.76954966  557.56014266  981.51761279
  743.4212268   869.10445673  654.12812792  493.78963259  624.98750095
  914.68940657  796.70893467  840.79083929  587.88818754  640.26450959
  699.77566128    6.04657906  786.55439668  726.76954966]","[  418.4490836   -172.34593351  1069.90032266   529.90624064   371.93709732
    31.70431092   662.94083709   484.79014542   484.79014542   261.76308549
   868.40734847   300.40657422   576.20299337   267.42306226   424.66422913
   652.68262773   617.91207102   364.16309157   526.24339591]"
"[  19.93333065  390.50545926  547.64641582  689.23881249  117.76472643
  398.54175007  156.97198909  398.54175007  156.97198909  117.76472643
  256.78162012  399.3080776   287.74761604  636.54746776   82.9513316
  375.08370687  547.64641582  393.08310837  715.95051098]","[  496.70004185   626.0771445    692.88455148   815.97873206   556.11883383
   666.37765809   753.31742374   886.37926385  1008.81156586   854.93133242
   608.09751138   721.36408975   481.48664422   815.97873206   820.46184051
   692.20407113   758.43811575   598.11707691   298.15064802]","[ 437.29059844  485.32498444  105.15648509  138.61131237  619.93045464
  206.39168805  142.52534207  593.01529175  138.61131237  111.7305211
  463.08108138  142.19064924 -250.40220733  446.66722376  267.74434903
  575.69286468  103.54099956  489.40848515 -141.58778427]"
"[ 482.76910833  294.94608367  214.85558546  473.44580643   29.49093217
  411.06767733  -70.45349227  119.57490303  518.58253493  710.68006138
  482.76910833  294.94608367  123.72038666  638.67260427  518.58253493
  214.85558546  473.44580643  560.8310537   141.11656196]","[ 600.03613492  632.55121243  749.90100854  461.39045541  739.8382365
  648.85084357  673.41565952  750.98304963  648.87306648  782.58582195
  596.21451052  877.92604892  556.71955514  749.90100854  710.2546687
  695.19956256  729.78855929  644.57563049  631.98021204]","[  68.82518647  174.06097959  432.45124898  355.68498331  317.98594333
  535.14687969  493.95739895  546.71193859  220.48790068  884.91748173
 -112.49973547  710.37926348  164.44386121  407.71338866   -7.79902332
  529.09843399  432.45124898  834.28666735  401.76108594]"
"[ -70.54961181  553.24221471  703.44441187 -156.99143249  110.87369143
  191.23482306  703.44441187 -156.99143249  578.9248224   608.30980658
  278.48544819  816.75246084   -7.71930041  -57.10372073  688.21290123
  404.03968036  608.30980658  110.87369143  191.23482306]","[ 591.06737102  513.02088425  615.46751996  411.57447797  413.26240556
  753.51099344  469.84176455  512.95613742  601.56700347  819.56160107
  514.32127193  501.02268678  554.28818814  572.48614284  591.06737102
  835.38140771  679.29149229  831.17163691  695.34450121]","[ 610.6562069   519.11870707  262.88368099  727.29064701  626.3522229
  789.38160344  323.71742703  349.07529648  470.85680785  449.2215186
  834.68434096  463.95919247  -39.57032876  -99.22388664  372.09502898
  201.07061272  368.08212678  -99.22388664  183.52185986]"
"[ 806.08079549  -19.62481565  764.25587054  476.13205114  314.92749662
  274.99929735  728.44683526  314.92749662  186.14280001  837.95584201
  186.14280001  837.95584201 -251.9166695   283.52581863  806.08079549
    6.27937499  561.88344161  -66.6590438   163.21765822]","[ 750.91761113  872.65998841  649.17285689   -4.5585538   713.58458667
  627.80548784  722.2283452   709.30722192  447.12412282  674.68290745
  606.97226032  534.59408307  466.73176107  473.8980859   703.99835311
  750.91761113  651.19124155  440.40111371  702.47143932]","[  183.74011018   546.16583927   369.2813042     57.20867842   451.37002708
   409.24122723   494.6756398    -41.81246189   645.80554042  1169.16946151
  -175.76060505   380.18212624   543.60090345   278.72269548   168.59325517
  -128.62002597  -179.3746439    380.18212624   517.01427223]"
"[ 529.43580167  -34.99561338  122.64749336  687.62256768  307.42152241
  480.18184255  505.19125569   17.04131697  687.62256768  152.57233112
  361.14216319   36.67955598  122.64749336  611.95275081  265.46461592
  126.26048623  361.14216319   36.67955598  122.64749336]","[  711.95117388   794.78271875   629.24243878   831.70011326   693.72529474
   719.2638779    669.71707742   514.30406315   592.92406035  1020.7827447
   652.16526696   719.19927236   652.35897977   458.36531324   958.10911594
   592.92406035   671.9582289    606.39055483   541.67585996]","[ 1201.66038832     2.33973632   441.80141564   757.79706791   -88.59312768
   537.50310707   347.88100108   166.70026788   927.18050965   273.16366392
   195.62680425   810.88045227   243.42229055   450.18538294   441.80141564
  -105.49045295   515.38779575   568.32839107   679.850925  ]"
"[ 423.18573385  228.44175207   -1.85337186   58.10294879  161.01532778
  538.29813538  505.67673748  550.22687484  202.81372986  423.18573385
  228.44175207  505.67673748  859.72954236  538.29813538  505.67673748
  859.72954236  366.82267076  -53.88485987  265.21656568]","[ 442.57334792  656.90614284  389.75286809  682.22439294  743.63524371
  606.29571116  606.29571116  718.09487371  404.34945152  577.8922275
  297.87112539  671.65254229  484.44741055  618.16723135  455.09671671
  592.14456095  570.44948141  408.95991787  849.76021566]","[ 597.32043404  667.24567185  322.23240974 -268.17255313  805.15239028
  361.7223928   549.81498632   -1.99745406  480.96919629  805.15239028
  469.34656999  -92.66478708  225.13761765  503.9065742   161.81252824
  679.26947499  430.89960679  700.42718568  -56.65813661]"
"[ 681.61799782  -17.90997625  420.00407757  438.46251712  478.7206522
  537.35335721  724.66237395  629.05638809  572.54947235  681.61799782
  553.86983387  478.7206522   629.05638809  165.23989852  766.18974512
  206.9061621   724.66237395  553.86983387]","[ 663.94885492  713.82147472  703.9075158   680.96271066  636.58608563
  722.12336641  464.09403181  645.00489667  563.96465446  671.15984666
  662.87827364  724.48556523  605.81222524  561.47060741  604.52374139
  667.88846384  722.12336641  329.74288665  635.62210509]","[  34.82618867  383.86160803  472.9610562   420.21225366  880.64959757
    3.83262936 -163.45754367  359.75503137   13.98103547  516.05862886
  702.61607262 -194.59770021  420.21225366  765.32221017   51.27136655
  279.34288448  520.51467925  436.49690757 -122.07805217]"
"[  99.11154247  179.32761756  -36.65327026  -68.0827907    99.58824159
  120.22199712  473.68785973  496.73766427  -68.47860694  502.63849602
  179.32761756  -68.0827907   -68.47860694  496.73766427  401.59585017
  502.63849602  258.34678819  195.0481206    38.10931272]","[ 523.71826013  848.46254133  565.84801576  476.97061211  405.92455329
  670.04028348  590.09331577  451.08220188  503.70651347  574.41868177
  581.1077366   503.59245932  598.21619798  585.97401436  548.48822875
  637.1054609   514.00831714  585.97401436  708.51420306]","[ 384.85241778  752.55085416  353.62745535  474.29170775  695.10568343
  670.67951723  405.28872336  -47.82051374 -204.01490898  194.50231796
  550.28429538  898.25403145  474.29170775  107.19668852  119.54528876
 -291.39803345 -131.63882824   65.45065719  221.81215044]"
"[ 1022.97484542   672.36760467   364.68310818   390.58662683   402.3831538
  -409.82387561   402.3831538   -409.82387561   618.48646908   231.24986792
    68.78676639   157.38288488   390.58662683  1022.97484542   425.05828749
    75.12297369   618.48646908   290.39178349   364.68310818]","[ 260.91801228  652.05299345  352.95340439  496.42306677  525.30707028
  585.90365361  706.40310273  678.64851986  470.68188447  605.62109376
  678.64851986  875.2715443   371.05264381  794.97067361  393.75296877
  479.16289952  757.96228181  666.70937157  660.96962865]","[-221.29213735  290.76667237  252.9457904   352.97219082  284.75419943
  302.92937307  314.48986005  -51.65419308  210.97089553  891.47972521
  410.04123098  405.04609358  -68.17242195   -5.11547096  725.01179021
  360.35855175  974.69540829  -68.17242195  555.12959126]"
"[ 737.79938179  637.17979477  254.71626008  448.15366052   83.5636193
  774.43453005  436.08428091  514.95498914   79.8015722    94.19296433
  -12.29868624  774.43453005  296.69072616  296.69072616  254.71626008
  822.17855385  519.29082917  436.08428091  514.95498914]","[ 442.90880411  509.88403553  548.25386433  461.09271158  528.58342008
  623.33504625  537.81516439  435.80879516  461.09271158  636.62232753
  614.51524462  656.78963494  777.65514137  641.3958039   579.57688958
  528.55088055  891.21959817  620.99772304  554.82779081]","[  180.09449216   278.50769761   826.9973091    627.5983926    402.77346441
   386.96548925   639.17750596   600.55692051  -111.87100002   546.94357549
   387.3402723   1083.39028594   438.88828771   278.50769761   130.47588918
   147.32167896  -399.33491733  -109.85427403   781.88010089]"
