policyParams0,policyParams1,policyParams2,policyParams3,policyParams4,policyParams5,policyParams6,policyParams7,policyParams8,policyParams9
"[-0.01877487 -0.31563863  0.16680339 ..., -0.02502927 -0.05191461
 -0.03399654]","[  1.03541803e-01   3.23049819e-02  -8.02636274e-02 ...,   4.30115334e-03
   1.10197495e-02   1.00641898e-04]","[ 0.26764389  0.19417992  0.04814744 ...,  0.02194714  0.0033779  -0.0082311 ]","[ 0.34452212  0.00946264 -0.34923524 ..., -0.00073933  0.00069928
  0.00390957]","[-0.09595519 -0.25837529 -0.02181462 ..., -0.00212461  0.00329723
 -0.00464456]","[ 0.05598228 -0.32064507 -0.09891606 ...,  0.02295764 -0.002753   -0.01302834]","[ -7.89756480e-02   1.70812976e-04   3.41573188e-01 ...,  -1.70519956e-02
   2.73868402e-02   5.16248879e-03]","[ 0.11808827  0.34757853  0.26268629 ...,  0.00649649 -0.00871496
 -0.0070823 ]","[-0.25710386  0.32761429  0.04921522 ...,  0.00504316 -0.00119863
 -0.01365804]","[ 0.11294425  0.11157633  0.10490045 ..., -0.00292465 -0.00317689
 -0.00407214]"
"[-0.01259785 -0.31748419  0.16351928 ..., -0.01469966 -0.0523221
 -0.02348181]","[  1.03441389e-01   3.22762287e-02  -8.04698541e-02 ...,   4.49272573e-03
   1.10783022e-02   2.12528377e-05]","[ 0.26596517  0.19367313  0.05009327 ...,  0.02742573  0.00607125
 -0.00640133]","[ 0.34451104  0.00942393 -0.34919729 ..., -0.00079984  0.00058286
  0.00397682]","[-0.09592439 -0.25852191 -0.02187218 ..., -0.00254953  0.00343163
 -0.00466518]","[ 0.05653278 -0.32030882 -0.09960302 ...,  0.02410326 -0.00165629
 -0.01514566]","[-0.07909491 -0.00056423  0.34179099 ..., -0.01691638  0.02740511
  0.00494729]","[ 0.1157964   0.34770856  0.26346011 ...,  0.00268578 -0.01096963
 -0.00949785]","[-0.25682209  0.32759248  0.04970335 ...,  0.00599223 -0.00055697
 -0.01737267]","[ 0.11344147  0.11141193  0.10494807 ..., -0.00276742 -0.00316819
 -0.00456876]"
"[-0.01431752 -0.31504267  0.16409958 ..., -0.00222304 -0.0493318
 -0.02485156]","[ 0.10343839  0.03226315 -0.08062977 ...,  0.00451938  0.01110257
 -0.00014443]","[ 0.26519001  0.19365596  0.05094613 ...,  0.02914044  0.00440047
 -0.00581119]","[ 0.34448198  0.00937549 -0.34919205 ..., -0.00101368  0.00043677
  0.00400734]","[-0.09603746 -0.25883862 -0.02189726 ..., -0.00287841  0.0035107
 -0.00501836]","[ 0.05926227 -0.32070397 -0.10052285 ...,  0.0247464  -0.00211568
 -0.01759404]","[-0.07907929 -0.00111769  0.34194447 ..., -0.01802407  0.02921878
  0.00755906]","[  1.16281633e-01   3.48833531e-01   2.57811040e-01 ...,   2.06859381e-04
  -1.18936999e-02  -1.28634745e-02]","[ -2.56588660e-01   3.27738359e-01   4.99865689e-02 ...,   6.33357977e-03
  -1.22062189e-04  -1.95549235e-02]","[ 0.11374714  0.11126814  0.1050048  ..., -0.00242083 -0.00305104
 -0.0050999 ]"
"[-0.01608505 -0.31733716  0.16598319 ..., -0.00258161 -0.04423737
 -0.02775683]","[ 0.10343786  0.03224655 -0.08082383 ...,  0.00454519  0.01111801
 -0.00037999]","[ 0.26493583  0.19337156  0.05149551 ...,  0.02986591  0.00590358
 -0.00455793]","[ 0.34451744  0.00940901 -0.34925799 ..., -0.00107083  0.00049276
  0.0039497 ]","[-0.09636234 -0.25926465 -0.02181782 ..., -0.0037292   0.00352296
 -0.00515798]","[ 0.06231697 -0.32093618 -0.10117963 ...,  0.02531539 -0.00545311
 -0.02179027]","[ -7.88184067e-02  -2.42799127e-04   3.41599795e-01 ...,  -2.01035189e-02
   3.27515882e-02   1.00851289e-02]","[ 0.11737134  0.34976929  0.25209614 ..., -0.00166781 -0.00947644
 -0.01651799]","[-0.25634393  0.32766022  0.05015163 ...,  0.00596386  0.00052635
 -0.01987813]","[ 0.11321377  0.11135661  0.10486936 ..., -0.00239009 -0.00254427
 -0.00587339]"
"[-0.00814708 -0.31151232  0.16271775 ...,  0.00471209 -0.04918218
 -0.03334843]","[ 0.10333709  0.032233   -0.08094407 ...,  0.0047316   0.01109318
 -0.00081129]","[ 0.26725118  0.1930631   0.05180892 ...,  0.02929258  0.00728252
 -0.00419298]","[ 0.34453206  0.00941411 -0.34926842 ..., -0.00090997  0.00044271
  0.00354518]","[-0.09724608 -0.26095819 -0.02183093 ..., -0.00409565  0.00333577
 -0.00541917]","[ 0.06481514 -0.32156638 -0.10129672 ...,  0.02526052 -0.00961758 -0.023102  ]","[-0.07863097  0.00041723  0.34207711 ..., -0.0229885   0.03638802
  0.01391879]","[ 0.11749409  0.34962121  0.25017737 ...,  0.00101145 -0.01163032
 -0.01946547]","[-0.25622484  0.32751262  0.05018064 ...,  0.00593501  0.00085826
 -0.01976366]","[ 0.1113119   0.11193073  0.10418242 ..., -0.00240541 -0.00172802
 -0.00679975]"
"[-0.0095646  -0.31012121  0.14904224 ...,  0.01247733 -0.05258492
 -0.04108436]","[ 0.1032943   0.03223433 -0.08095836 ...,  0.00474957  0.01127925
 -0.00143367]","[ 0.2680591   0.19309588  0.05212736 ...,  0.02967008  0.00488391
 -0.00594038]","[ 0.3445484   0.00941983 -0.34929234 ..., -0.00079629  0.00039425
  0.00329162]","[-0.09816594 -0.26278654 -0.02168231 ..., -0.00437611  0.00240046
 -0.00543444]","[ 0.06425739 -0.32186041 -0.10093637 ...,  0.02669388 -0.01503546
 -0.02108749]","[-0.07841057  0.00078031  0.3419788  ..., -0.02608777  0.0423567
  0.01512452]","[ 0.11730902  0.34887856  0.25109707 ...,  0.00298425 -0.01445548
 -0.01911888]","[-0.25606251  0.32742537  0.05025996 ...,  0.00580022  0.00051123
 -0.01969542]","[ 0.10814053  0.11248454  0.10314876 ..., -0.00331948 -0.0014429
 -0.00758617]"
"[-0.01470104 -0.30385974  0.15196024 ...,  0.01574274 -0.0583325
 -0.04526197]","[ 0.1033094   0.03225299 -0.08093895 ...,  0.00452049  0.01174832
 -0.00183414]","[ 0.26781718  0.19288137  0.05296457 ...,  0.03206907  0.00208478
 -0.00492173]","[ 0.34455528  0.009414   -0.34934272 ..., -0.00072821  0.00042499
  0.00313863]","[-0.09884554 -0.26399761 -0.02156626 ..., -0.00337046  0.00191102
 -0.00626564]","[ 0.06374488 -0.3221746  -0.10110305 ...,  0.02966306 -0.01981548
 -0.01920764]","[-0.07848308  0.00071235  0.34177515 ..., -0.02912039  0.04774294
  0.01663382]","[ 0.11613071  0.34799541  0.25513324 ...,  0.00293001 -0.01578536
 -0.01841397]","[-0.25573661  0.32728573  0.05044973 ...,  0.00549919  0.00084611
 -0.02137358]","[ 0.10500929  0.11289339  0.10238321 ..., -0.00477834 -0.00130499
 -0.00681836]"
"[-0.01792659 -0.30214617  0.15710292 ...,  0.01647509 -0.06130912
 -0.03977613]","[ 0.10332875  0.03229712 -0.08075735 ...,  0.004286    0.01209299
 -0.00222256]","[  2.65416303e-01   1.92446142e-01   5.49897084e-02 ...,   3.65148955e-02
   2.30663203e-04  -2.14176719e-03]","[  3.44551795e-01   9.39662165e-03  -3.49363110e-01 ...,  -7.69347873e-04
   1.52298474e-04   3.11244188e-03]","[-0.09999747 -0.26447516 -0.02111024 ..., -0.00263733  0.00112612
 -0.00688922]","[ 0.06553526 -0.32244523 -0.10213309 ...,  0.03057052 -0.02179506
 -0.01927563]","[-0.0786509   0.0008718   0.34154322 ..., -0.03205946  0.0521619   0.0190093 ]","[ 0.1175241   0.34876407  0.25285345 ...,  0.00267282 -0.01719724
 -0.01819714]","[-0.25549705  0.32685156  0.05066383 ...,  0.00726662  0.00088983
 -0.0250073 ]","[ 0.10375714  0.11253542  0.10202968 ..., -0.00607773 -0.00065637
 -0.00585577]"
"[-0.0227861  -0.30292161  0.15236818 ...,  0.0186861  -0.0611146
 -0.03778667]","[ 0.10331658  0.03233718 -0.08058819 ...,  0.00409923  0.012423   -0.00255781]","[ 0.2654952   0.19279177  0.05616472 ...,  0.04213354 -0.00199503
  0.00109416]","[  3.44581246e-01   9.35643158e-03  -3.49333103e-01 ...,  -4.09094754e-04
   4.23758474e-06   3.02624692e-03]","[-0.10137387 -0.26454448 -0.02013854 ..., -0.00253072  0.00192671
 -0.00710333]","[ 0.06723118 -0.32221825 -0.10187881 ...,  0.02901701 -0.02332309
 -0.02156033]","[ -7.86278968e-02   3.33352483e-04   3.41595342e-01 ...,  -3.32148407e-02
   5.57998956e-02   2.12850466e-02]","[ 0.11780957  0.34923236  0.25320514 ...,  0.00338527 -0.01740402
 -0.02002333]","[-0.25528665  0.32702881  0.05067262 ...,  0.0070381   0.0012181
 -0.02815468]","[  1.02381523e-01   1.12090454e-01   1.01392858e-01 ...,  -7.25850258e-03
  -6.23514943e-05  -5.82173971e-03]"
"[-0.02439196 -0.30183782  0.14993303 ...,  0.02215887 -0.06067253
 -0.04309596]","[ 0.10322986  0.0324132  -0.08028696 ...,  0.00426968  0.01280613
 -0.00298578]","[ 0.26826987  0.19434378  0.05435602 ...,  0.04268993 -0.00250045
  0.00921536]","[  3.44672017e-01   9.44470451e-03  -3.49437987e-01 ...,   2.96202503e-04
   8.77734637e-06   2.98200152e-03]","[-0.10208265 -0.2644774  -0.01962536 ..., -0.00422219  0.0012754
 -0.00686434]","[ 0.0689144  -0.32218463 -0.10144877 ...,  0.02688839 -0.02579367
 -0.02672744]","[-0.07857852 -0.00138755  0.34184063 ..., -0.03367618  0.05812145
  0.02290975]","[ 0.11491541  0.3498626   0.25623348 ...,  0.00187909 -0.02030524
 -0.02386165]","[-0.25544263  0.32805687  0.05031027 ...,  0.00632027  0.00197093
 -0.03026421]","[ 0.10067337  0.11175057  0.10054777 ..., -0.0070378   0.00362926
 -0.00531195]"
"[-0.02538368 -0.29758209  0.15266538 ...,  0.01850061 -0.06197918
 -0.05510916]","[ 0.10307721  0.03248387 -0.08001409 ...,  0.00461655  0.01318353
 -0.00363095]","[ 0.26694022  0.19300119  0.05493257 ...,  0.04542075 -0.00306968
  0.01652183]","[  3.44734657e-01   9.54682441e-03  -3.49542829e-01 ...,   8.38913426e-04
   1.64052593e-04   2.89001421e-03]","[-0.10153946 -0.26420131 -0.01974067 ..., -0.00692216  0.00198663
 -0.0060847 ]","[ 0.07264896 -0.32328289 -0.10031236 ...,  0.02561588 -0.02771916
 -0.02998365]","[-0.07818928 -0.00153282  0.34155016 ..., -0.03490031  0.0595514   0.0268614 ]","[  1.12990455e-01   3.51765744e-01   2.51938344e-01 ...,  -2.33608127e-04
  -2.37900182e-02  -2.66604281e-02]","[-0.25558084  0.32838419  0.0501296  ...,  0.00505952  0.00258161
 -0.03140958]","[ 0.09942306  0.11076666  0.10100362 ..., -0.00599037  0.00710602
 -0.00427132]"
"[-0.0190728  -0.29065251  0.14907645 ...,  0.01905016 -0.06654039
 -0.05989402]","[ 0.10289988  0.0325167  -0.07987665 ...,  0.00479226  0.0134787
 -0.00425215]","[ 0.26750617  0.1910922   0.05724004 ...,  0.05152171 -0.00146787
  0.01657023]","[ 0.34481824  0.00971161 -0.34986168 ...,  0.00122699  0.00086728
  0.00240176]","[-0.10024653 -0.2648775  -0.02060236 ..., -0.00871722  0.00239215
 -0.00779644]","[ 0.07507693 -0.32448404 -0.09886712 ...,  0.02343126 -0.03039882
 -0.02948677]","[-0.077547    0.00095915  0.34105718 ..., -0.03615939  0.06080346
  0.02888271]","[ 0.11061561  0.35210727  0.2515813  ..., -0.00293387 -0.02551821
 -0.02997597]","[-0.25584314  0.32855166  0.04996008 ...,  0.00492248  0.00393765
 -0.0312028 ]","[ 0.09545596  0.10960425  0.10066514 ..., -0.00928172  0.00816334
 -0.00365048]"
"[-0.01693278 -0.28983505  0.1554095  ...,  0.01631086 -0.06835577
 -0.05601358]","[ 0.10257772  0.03252518 -0.07989768 ...,  0.00522109  0.01364624
 -0.00506824]","[ 0.27142556  0.19150629  0.05746399 ...,  0.05390186 -0.00038302
  0.01987067]","[ 0.34504712  0.01011531 -0.35053271 ...,  0.00119072  0.00223905
  0.0017924 ]","[-0.098826   -0.26545971 -0.0214972  ..., -0.01020858  0.00386679
 -0.00862699]","[ 0.07572044 -0.32523901 -0.09932402 ...,  0.02122955 -0.03181129
 -0.02930817]","[-0.07741403  0.00210287  0.34097419 ..., -0.03503839  0.06033511
  0.02642624]","[ 0.11101266  0.35188392  0.25117062 ..., -0.00060904 -0.02907811
 -0.03075423]","[-0.25589544  0.32769549  0.05000785 ...,  0.00580484  0.00448665
 -0.03318952]","[ 0.08836517  0.11007016  0.09908357 ..., -0.01243398  0.00831528
 -0.00147921]"
"[-0.01631071 -0.28962875  0.16014957 ...,  0.01593459 -0.06803958 -0.050983  ]","[ 0.10225205  0.0325205  -0.07993749 ...,  0.00560077  0.01381691
 -0.0057761 ]","[ 0.2777938   0.19478761  0.05739112 ...,  0.05249129  0.00235208
  0.02430214]","[ 0.34526477  0.01048444 -0.35111889 ...,  0.00105042  0.00362324
  0.00236867]","[-0.09924948 -0.2664808  -0.021717   ..., -0.01045612  0.00446144
 -0.00992585]","[ 0.07612607 -0.32585784 -0.09949715 ...,  0.022961   -0.03417992
 -0.02929895]","[-0.07692104  0.00542908  0.340423   ..., -0.03874633  0.06085661
  0.02548428]","[ 0.11104342  0.35277039  0.25101503 ...,  0.00171894 -0.0300292
 -0.02821067]","[-0.25620414  0.32749303  0.05012467 ...,  0.00673301  0.00412505
 -0.03557917]","[ 0.0847968   0.11039363  0.09855967 ..., -0.01401115  0.00983945
 -0.00090411]"
"[-0.01511808 -0.28770725  0.16082727 ...,  0.02013697 -0.06715766
 -0.04778744]","[ 0.10199634  0.03251777 -0.07996014 ...,  0.00560367  0.01368884
 -0.0064404 ]","[ 0.27935295  0.19517725  0.05865964 ...,  0.05482011  0.00577651
  0.02950335]","[ 0.34538662  0.01062863 -0.35143753 ...,  0.00104167  0.00465739
  0.0023697 ]","[-0.09773064 -0.26605539 -0.02213976 ..., -0.01173667  0.00503735
 -0.0102389 ]","[ 0.07684445 -0.32588421 -0.0986819  ...,  0.02251813 -0.03533107
 -0.03280215]","[-0.0764225   0.00699609  0.33990052 ..., -0.04075952  0.06386139
  0.02422258]","[ 0.11160456  0.35339883  0.25198372 ...,  0.00127078 -0.03205674
 -0.02889044]","[-0.25633317  0.32747832  0.05035412 ...,  0.0102072   0.00503088
 -0.03807588]","[ 0.08165768  0.11040026  0.09896254 ..., -0.01667489  0.01189029
 -0.00243326]"
"[-0.01491019 -0.28930467  0.15912894 ...,  0.0255423  -0.0642855
 -0.04653913]","[ 0.10177723  0.03252059 -0.07996492 ...,  0.00556685  0.01354231
 -0.0073446 ]","[ 0.2826902   0.1954214   0.05969549 ...,  0.05785505  0.00749987
  0.03360955]","[  3.45289139e-01   1.06435633e-02  -3.51199781e-01 ...,  -2.38573211e-04
   7.05074801e-03   2.64306226e-03]","[-0.09530768 -0.26549059 -0.02288945 ..., -0.01358587  0.00455145
 -0.00992199]","[ 0.08210304 -0.32710756 -0.09925764 ...,  0.0208166  -0.03272681
 -0.03962217]","[-0.0760864   0.00919775  0.33976965 ..., -0.04174704  0.06741668
  0.0224268 ]","[ 0.10898848  0.3543302   0.25604709 ...,  0.00079125 -0.03583928
 -0.03138437]","[-0.2559903   0.32630344  0.05124534 ...,  0.01199396  0.00397969
 -0.04035848]","[ 0.08119924  0.10938465  0.09974195 ..., -0.01788929  0.01428338
 -0.00493905]"
"[-0.01279651 -0.28637328  0.15753143 ...,  0.02835418 -0.06409675
 -0.04536844]","[ 0.10151584  0.03249867 -0.0800697  ...,  0.00558304  0.01340339
 -0.00797098]","[ 0.28668851  0.1943644   0.06031314 ...,  0.05894344  0.01368266
  0.03953667]","[ 0.34493819  0.01027515 -0.35014752 ..., -0.0011372   0.00805905
  0.00317026]","[-0.09420251 -0.26554169 -0.02335456 ..., -0.01335094  0.00499374
 -0.00974694]","[ 0.08464172 -0.32828943 -0.09940678 ...,  0.0207891  -0.03281552
 -0.04543821]","[-0.07613456  0.00974512  0.33942412 ..., -0.04313748  0.07153249
  0.02263994]","[ 0.10835376  0.35534792  0.25823361 ...,  0.00202012 -0.03550418
 -0.03087072]","[-0.25559956  0.32509337  0.05197597 ...,  0.01332235  0.00399594
 -0.04207243]","[ 0.08302384  0.10997584  0.10041805 ..., -0.01697225  0.01571883
 -0.00816482]"
"[-0.01504668 -0.287399    0.15422889 ...,  0.02453587 -0.06524535
 -0.04379414]","[ 0.10136189  0.03248852 -0.0801646  ...,  0.00546424  0.01345402
 -0.00851828]","[ 0.28822734  0.19418779  0.06150398 ...,  0.05875683  0.01617973
  0.0415724 ]","[ 0.34482781  0.01037493 -0.34999159 ..., -0.00192996  0.00871445
  0.00299083]","[-0.09105415 -0.26534769 -0.02442472 ..., -0.01496823  0.00645923
 -0.00889484]","[ 0.0852705  -0.32908747 -0.1015019  ...,  0.02170081 -0.03304255
 -0.04550557]","[-0.07627642  0.00910811  0.33913243 ..., -0.04456554  0.07602433
  0.02480655]","[ 0.11095124  0.35673616  0.25848183 ...,  0.00232899 -0.03721245
 -0.03121195]","[-0.25566436  0.32429908  0.0522128  ...,  0.01678478  0.00477305
 -0.04405993]","[ 0.08391802  0.1085642   0.1018759  ..., -0.01547978  0.01894224
 -0.01003618]"
"[-0.01767468 -0.28935691  0.14336935 ...,  0.02565178 -0.06219827
 -0.03622822]","[ 0.1012731   0.03250028 -0.08018343 ...,  0.00536047  0.01353672
 -0.00899887]","[ 0.28816794  0.192053    0.06299369 ...,  0.06235818  0.01576175
  0.04020063]","[ 0.34489079  0.01055639 -0.35091329 ..., -0.00094269  0.00909691
  0.00324091]","[-0.0840264  -0.26104871 -0.0254916  ..., -0.01655738  0.00658962
 -0.00886574]","[ 0.08426101 -0.32839302 -0.10412858 ...,  0.02428574 -0.03115029
 -0.04547825]","[-0.0766162   0.00808299  0.33932997 ..., -0.04533522  0.08083557
  0.02752934]","[ 0.11069471  0.35693471  0.26030727 ...,  0.00062771 -0.03938784
 -0.03181039]","[-0.25566412  0.32419821  0.05228489 ...,  0.01751056  0.00482172
 -0.04453633]","[ 0.08134286  0.10834884  0.10121839 ..., -0.01366542  0.02302588
 -0.01104331]"
"[-0.01729715 -0.28810011  0.13357876 ...,  0.02507143 -0.06420517
 -0.03550727]","[ 0.10109256  0.03251546 -0.08023775 ...,  0.00547858  0.01379413
 -0.00932167]","[ 0.28982151  0.19148767  0.06361154 ...,  0.06297862  0.01291234
  0.03883173]","[ 0.34466481  0.01082615 -0.35068392 ..., -0.00167538  0.01099282
  0.00276554]","[-0.07838498 -0.2576056  -0.02569734 ..., -0.02165579  0.00434449
 -0.00846311]","[ 0.0865709  -0.32731315 -0.10389821 ...,  0.02384273 -0.02926857
 -0.04573838]","[-0.0768954   0.00810879  0.33941337 ..., -0.04678483  0.08556925
  0.03128173]","[ 0.11171314  0.35649048  0.25897027 ...,  0.00231814 -0.04389962
 -0.03002356]","[-0.25586883  0.32552683  0.05197135 ...,  0.01761074  0.00593796
 -0.04509227]","[ 0.07563166  0.1078781   0.10050116 ..., -0.01613661  0.02739727
 -0.01036298]"
"[-0.01015072 -0.28524319  0.12241144 ...,  0.02939655 -0.06262268
 -0.03311294]","[ 0.10097186  0.03252025 -0.08024711 ...,  0.00528677  0.01396275
 -0.00972977]","[ 0.29375586  0.19311605  0.06379474 ...,  0.05989479  0.01468663
  0.0412564 ]","[ 0.34429627  0.01100804 -0.34977247 ..., -0.0038622   0.01254679
  0.0008864 ]","[-0.07221925 -0.25753073 -0.02732731 ..., -0.02321087  0.00352051
 -0.00764903]","[ 0.08720685 -0.32584889 -0.10149543 ...,  0.02192659 -0.02946664
 -0.04592101]","[-0.07725717  0.0068799   0.33943058 ..., -0.04768094  0.08827664
  0.03450263]","[ 0.11422331  0.35663958  0.2571479  ...,  0.00342713 -0.04476199
 -0.02726257]","[-0.25588702  0.32684223  0.05188077 ...,  0.01766585  0.00817599
 -0.04527223]","[ 0.06674726  0.10888189  0.09872846 ..., -0.01987594  0.02763501
 -0.01076927]"
"[ 0.00412451 -0.2728973   0.11851354 ...,  0.03603046 -0.06431084
 -0.02488783]","[ 0.10088221  0.03253318 -0.08014737 ...,  0.00518619  0.01438309
 -0.01012382]","[ 0.29318391  0.19124988  0.0643264  ...,  0.061819    0.01513724
  0.04189093]","[ 0.3443176   0.0114744  -0.34980633 ..., -0.00509354  0.01363336
 -0.00081797]","[-0.0741609  -0.26161585 -0.02824974 ..., -0.02154642 -0.00097785
 -0.00742105]","[ 0.08818817 -0.32572532 -0.09903602 ...,  0.02132273 -0.03052071
 -0.0465754 ]","[-0.07778265  0.00360416  0.33956786 ..., -0.04667706  0.09104702
  0.03735973]","[ 0.11489328  0.3560624   0.25899044 ...,  0.00454906 -0.04680782
 -0.02497552]","[-0.25550345  0.3275646   0.05191744 ...,  0.01727608  0.00904234
 -0.04695245]","[ 0.06684855  0.10940546  0.09904402 ..., -0.01962446  0.03026626
 -0.01211549]"
"[-0.01028789 -0.28898243  0.10902252 ...,  0.03032841 -0.06754802
 -0.01564026]","[ 0.10077803  0.03257809 -0.07998067 ...,  0.00490613  0.01463061
 -0.01052478]","[ 0.29167832  0.18919986  0.06510799 ...,  0.06638505  0.01287156
  0.04405373]","[ 0.34448123  0.01205192 -0.34990463 ..., -0.0052119   0.01699639
  0.00207519]","[-0.07625549 -0.25641299 -0.02607935 ..., -0.02229562 -0.00621667
 -0.0065763 ]","[ 0.08702725 -0.32478269 -0.09870025 ...,  0.02105754 -0.03366242
 -0.04697511]","[-0.07875112 -0.00039702  0.33998397 ..., -0.04566676  0.09289348
  0.03469347]","[ 0.11794127  0.35686604  0.25402763 ...,  0.00418173 -0.05149477
 -0.02169465]","[-0.25461995  0.32781721  0.0522741  ...,  0.01625706  0.00826338
 -0.04999933]","[ 0.06499939  0.11007405  0.09986538 ..., -0.02006457  0.03645018
 -0.01560082]"
"[-0.02325098 -0.30625265  0.10181003 ...,  0.02275645 -0.0656185
 -0.01614774]","[ 0.10069705  0.03262944 -0.07981684 ...,  0.00452195  0.01474206
 -0.01077345]","[ 0.28912559  0.18872781  0.06621473 ...,  0.0704726   0.01316894
  0.04721319]","[ 0.34450164  0.011954   -0.3493326  ..., -0.00426375  0.01946627
  0.00378494]","[-0.07695805 -0.25201149 -0.02510957 ..., -0.02404579 -0.01004582
 -0.00923809]","[ 0.08599799 -0.3248661  -0.09836545 ...,  0.01995022 -0.03322937
 -0.04504943]","[-0.08001265 -0.0058935   0.34076813 ..., -0.04314412  0.09538101
  0.0319792 ]","[ 0.12125455  0.35781607  0.24947144 ...,  0.0033165  -0.05189177
 -0.02220866]","[-0.25413529  0.32778504  0.05295314 ...,  0.01797522  0.00688632
 -0.05228734]","[ 0.06369595  0.11025002  0.09968237 ..., -0.01782194  0.04316143
 -0.0179419 ]"
"[-0.02456797 -0.31073932  0.09958418 ...,  0.02303697 -0.06644354
 -0.01581523]","[ 0.10061827  0.03271484 -0.0795068  ...,  0.00448173  0.01474755
 -0.01102733]","[ 0.28781179  0.19024834  0.06752507 ...,  0.07369578  0.01624203
  0.05066651]","[ 0.34465464  0.01259904 -0.34915372 ..., -0.00489059  0.02323767
  0.00392519]","[-0.07767244 -0.25401407 -0.02610099 ..., -0.02571609 -0.01508437
 -0.01080506]","[ 0.08241132 -0.32516354 -0.09956154 ...,  0.02259345 -0.03163591
 -0.04622872]","[-0.08118072 -0.00950055  0.34169042 ..., -0.04138141  0.09858437
  0.0291151 ]","[ 0.12182874  0.35718849  0.25292841 ...,  0.00528578 -0.05330456
 -0.02659141]","[-0.25384143  0.32633338  0.05389836 ...,  0.02135685  0.00587467
 -0.05472572]","[ 0.06639307  0.10925266  0.10091267 ..., -0.01576547  0.04887833
 -0.01748106]"
"[-0.02134931 -0.30960723  0.09716361 ...,  0.02400835 -0.0632932
 -0.01571137]","[ 0.10052513  0.03274464 -0.07934283 ...,  0.00449029  0.01478474
 -0.01128413]","[ 0.28612239  0.18923499  0.06834108 ...,  0.079343    0.01703135
  0.05199524]","[ 0.34444213  0.01238322 -0.34762922 ..., -0.00512682  0.02425738
  0.00715229]","[-0.07716769 -0.25639832 -0.02636505 ..., -0.02977367 -0.01840947
 -0.01256783]","[ 0.08162604 -0.32612387 -0.09883464 ...,  0.02213269 -0.03234054
 -0.04704476]","[-0.08161482 -0.01182233  0.34237648 ..., -0.03880568  0.10181027
  0.02566845]","[ 0.12349127  0.35584776  0.25575532 ...,  0.00617397 -0.05680668
 -0.02840732]","[-0.25322661  0.32302549  0.05508604 ...,  0.02358271  0.00630556
 -0.05587767]","[ 0.06578962  0.10950239  0.10075133 ..., -0.01399893  0.05148757
 -0.01757229]"
"[-0.01945178 -0.30659676  0.09186199 ...,  0.02760545 -0.05335539
 -0.01566995]","[ 0.1003235   0.03274048 -0.07926149 ...,  0.00475099  0.01495695
 -0.0117929 ]","[ 0.28375013  0.18776145  0.06646331 ...,  0.08400807  0.01761924
  0.05287968]","[ 0.34501654  0.01462721 -0.35019658 ..., -0.00429199  0.02689017
  0.01514635]","[-0.08028988 -0.25749859 -0.02648212 ..., -0.03264783 -0.01998775
 -0.01631735]","[ 0.08018006 -0.32613129 -0.09778918 ...,  0.02073704 -0.03256896
 -0.04869937]","[-0.08216695 -0.01282188  0.34304171 ..., -0.03739576  0.10532648
  0.02431879]","[ 0.12437986  0.35606141  0.25474129 ...,  0.0032065  -0.0562764
 -0.03171632]","[-0.25234941  0.32155331  0.05624347 ...,  0.02406719  0.00679233
 -0.05599249]","[ 0.06576758  0.10968107  0.10073075 ..., -0.01135793  0.05238365
 -0.01653726]"
"[-0.02052371 -0.30691478  0.08893392 ...,  0.03136438 -0.04063847
 -0.01686791]","[ 0.10012502  0.03270592 -0.07929938 ...,  0.00532373  0.01493685
 -0.01252461]","[ 0.28191431  0.18693772  0.06435204 ...,  0.08764374  0.01877737
  0.05250226]","[ 0.34532269  0.01523947 -0.35160269 ..., -0.00429574  0.03167501
  0.02257637]","[-0.08500133 -0.25787673 -0.0257377  ..., -0.03516652 -0.02335606
 -0.01972377]","[ 0.08032192 -0.32772617 -0.09660638 ...,  0.02117068 -0.03132412
 -0.05047539]","[-0.08282578 -0.01385916  0.34367512 ..., -0.03731253  0.10748789
  0.02542034]","[  1.22748618e-01   3.55499376e-01   2.54873091e-01 ...,  -2.76299668e-04
  -5.44841846e-02  -3.57777198e-02]","[-0.2523328   0.32156806  0.05661985 ...,  0.02579109  0.00639376
 -0.05890915]","[ 0.06470347  0.10904075  0.10185459 ..., -0.01148984  0.05412243
 -0.01666517]"
"[-0.02085361 -0.30545765  0.08986953 ...,  0.03397098 -0.03584451
 -0.02185033]","[ 0.09990884  0.03267545 -0.0793557  ...,  0.00568725  0.01507696
 -0.01317085]","[ 0.27905106  0.18712075  0.0624915  ...,  0.09217085  0.02294663
  0.05394741]","[ 0.34514643  0.0148144  -0.34852084 ..., -0.00351103  0.0329756
  0.02780125]","[-0.08466322 -0.25346283 -0.02630422 ..., -0.03867479 -0.02438953
 -0.01994037]","[ 0.08115547 -0.32811607 -0.09530866 ...,  0.01980707 -0.03295081
 -0.05036076]","[-0.08230793 -0.01195613  0.34379615 ..., -0.03807722  0.11086611
  0.02563386]","[ 0.12060341  0.35431688  0.25840089 ...,  0.00062178 -0.05317224
 -0.0351197 ]","[-0.25127252  0.32002186  0.05720589 ...,  0.02705881  0.00574133
 -0.06135108]","[ 0.06229114  0.11011778  0.10341698 ..., -0.0155159   0.05572155 -0.014277  ]"
